Brand,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Power Reserve,Price (USD)
Ulysse Nardin,Stainless Steel,Rubber,Automatic,100 meters,44,12.5,22,Blue,Sapphire,60 hours,"9,500"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,20,Silver,Sapphire,60 hours,"21,500"
Jaquet Droz,Stainless Steel,Leather,Automatic,30 meters,43,12.27,23,Black,Sapphire,68 hours,"9,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"19,900"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,22,Black,Sapphire,120 hours,"14,400"
Breguet,Stainless Steel,Leather,Automatic,100 meters,42,13.85,22,Silver,Sapphire,48 hours,"9,500"
Bulgari,Titanium,Leather,Automatic,100 meters,40,5.15,28,Black,Sapphire,60 hours,"12,800"
Chopard,Stainless Steel,Leather,Automatic,50 meters,44,13.7,20,Black,Sapphire,42 hours,"6,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,20,Blue,Sapphire,54 hours,"7,800"
Glashütte Original,Stainless Steel,Leather,Automatic,50 meters,42,12.2,21,Silver,Sapphire,40 hours,"9,200"
Hublot,Titanium,Rubber,Automatic,50 meters,42,9.3,20,Black,Sapphire,42 hours,"6,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,60 hours,"8,400"
Jaquet Droz,Stainless Steel,Leather,Automatic,30 meters,43,12.13,23,Silver,Sapphire,68 hours,"6,200"
Longines,Stainless Steel,Leather,Automatic,30 meters,38.5,9.3,20,Blue,Sapphire,42 hours,"1,600"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,45 hours,"29,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"24,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,60 hours,"7,950"
Hublot,Titanium,Rubber,Automatic,50 meters,42,10.5,22,Black,Sapphire,42 hours,"8,200"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"11,500"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,13.1,22,Silver,Sapphire,50 hours,"9,400"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,25,Blue,Sapphire,54 hours,"6,700"
Chopard,Stainless Steel,Leather,Automatic,50 meters,42,11.43,20,Black,Sapphire,42 hours,"6,100"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,60 hours,"16,300"
Montblanc,Stainless Steel,Leather,Automatic,100 meters,42,12.8,22,Black,Sapphire,38 hours,"3,600"
Ulysse Nardin,Stainless Steel,Rubber,Automatic,300 meters,44,12.5,22,Black,Sapphire,60 hours,"9,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.2,20,Silver,Sapphire,70 hours,"8,900"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,48 hours,"44,500"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"17,000"
Tudor,Stainless Steel,Fabric,Automatic,200 meters,41,12.7,22,Black,Sapphire,70 hours,"4,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,46 hours,"8,300"
Panerai,Stainless Steel,Leather,Automatic,300 meters,44,13.05,24,Black,Sapphire,72 hours,"8,900"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,43.6,13.83,23,Black,Sapphire,120 hours,"12,000"
Hublot,Titanium,Rubber,Automatic,50 meters,45,10.95,24,Blue,Sapphire,42 hours,"7,500"
Zenith,Stainless Steel,Leather,Automatic,50 meters,42,14.05,22,Silver,Sapphire,50 hours,"6,900"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,50 meters,41,11,20,Blue,Sapphire,60 hours,"15,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Black,Sapphire,54 hours,"11,200"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,39,9.4,20,Blue,Sapphire,60 hours,"18,900"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,45 hours,"49,800"
IWC,Stainless Steel,Leather,Automatic,60 meters,41,12.5,20,Black,Sapphire,44 hours,"5,500"
Panerai,Titanium,Rubber,Automatic,300 meters,44,15.65,24,Black,Sapphire,72 hours,"9,600"
Breguet,Stainless Steel,Leather,Automatic,100 meters,39.5,14.1,20,Black,Sapphire,48 hours,"8,800"
Blancpain,Stainless Steel,Rubber,Automatic,300 meters,43,13.4,23,Black,Sapphire,120 hours,"14,700"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,54 hours,"10,600"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,20,Black,Sapphire,60 hours,"19,200"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.15,19,Silver,Sapphire,50 hours,"7,500"
Chopard,Stainless Steel,Leather,Automatic,50 meters,42,12.67,20,Black,Sapphire,48 hours,"5,600"
Longines,Stainless Steel,Stainless Steel,Automatic,300 meters,43,12.75,22,Blue,Sapphire,64 hours,"1,400"
Rolex,Stainless Steel,Stainless Steel,Automatic,300 meters,40,13,20,Black,Sapphire,48 hours,"9,500"
Omega,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21,Blue,Sapphire,60 hours,"5,800"
Tag Heuer,Stainless Steel,Leather,Automatic,100 meters,41,13,20,White,Sapphire,42 hours,"4,200"
Breitling,Stainless Steel,Stainless Steel,Automatic,30 meters,43,14.25,22,Black,Sapphire,70 hours,"7,900"
Cartier,Stainless Steel,Leather,Quartz,30 meters,31,6.05,20,Silver,Sapphire,N/A,"2,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20,Black,Sapphire,45 hours,"5,500"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,12.75,22,Black,Sapphire,70 hours,"3,500"
Seiko,Stainless Steel,Silicone,Automatic,200 meters,42.3,13.4,22,Blue,Hardlex,50 hours,650
Citizen,Titanium,Titanium,Eco-Drive,200 meters,46.5,15,23,Black,Sapphire,210 days,995
Hamilton,Stainless Steel,Leather,Automatic,100 meters,38,9.85,20,Black,Sapphire,80 hours,545
Bulova,Stainless Steel,Stainless Steel,Quartz,300 meters,46.5,17.5,24,Black,Mineral,N/A,650
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"5,500"
Breitling,Stainless Steel,Rubber,Automatic,200 meters,42,14.35,22,Black,Sapphire,38 hours,"4,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,40,8.8,20,Silver,Sapphire,70 hours,"6,500"
Cartier,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,21.5,Silver,Sapphire,42 hours,"7,500"
Zenith,Stainless Steel,Leather,Automatic,50 meters,40.5,9.15,20,Silver,Sapphire,50 hours,"4,500"
Panerai,Stainless Steel,Leather,Manual,100 meters,44,10.5,24,Black,Sapphire,56 hours,"5,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Silver,Sapphire,60 hours,"21,000"
IWC,Stainless Steel,Leather,Automatic,60 meters,41,10.86,20,Black,Sapphire,42 hours,"3,800"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,70 hours,"3,900"
Longines,Stainless Steel,Stainless Steel,Quartz,50 meters,41,12.1,20,Black,Sapphire,N/A,"1,500"
Sinn,Stainless Steel,Rubber,Automatic,1000 meters,44,14.3,22,Black,Sapphire,38 hours,"2,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,45 hours,"38,000"
Audemars Piguet,Rose Gold,Rose Gold,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"55,000"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,40 hours,"21,000"
A. Lange & Sohne,White Gold,Leather,Manual,30 meters,38.5,7.8,18,Silver,Sapphire,45 hours,"23,000"
Breguet,Rose Gold,Leather,Manual,30 meters,38.5,8.25,20,Silver,Sapphire,65 hours,"23,000"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,60 hours,"8,500"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"14,000"
Hublot,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Blue,Sapphire,72 hours,"16,000"
Panerai,Stainless Steel,Leather,Automatic,300 meters,44,15.65,24,Black,Sapphire,72 hours,"8,500"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,Silver,Sapphire,50 hours,"6,000"
Piaget,White Gold,Leather,Manual,30 meters,38,6.1,20,Silver,Sapphire,43 hours,"16,500"
Seiko,Stainless Steel,Silicone,Automatic,200 meters,44.3,12.7,20,Blue,Sapphire,41 hours,"1,200"
Panerai,Stainless Steel,Leather,Automatic,30 meters,38,11.2,20,Black,Sapphire,72 hours,"6,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,46 hours,"9,800"
Blancpain,Titanium,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"16,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.5,20,Black,Sapphire,60 hours,"19,800"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,45 hours,"47,000"
Breguet,18K Rose Gold,Leather,Automatic,30 meters,40,6.8,20,White,Sapphire,55 hours,"19,000"
Vacheron Constantin,18K White Gold,Leather,Manual,30 meters,40,6.79,20,Silver,Sapphire,65 hours,"18,500"
Chopard,Stainless Steel,Leather,Automatic,50 meters,44,14.97,22,Black,Sapphire,42 hours,"5,800"
Longines,Stainless Steel,Stainless Steel,Automatic,300 meters,41,13.2,20,Black,Sapphire,54 hours,"2,200"
Montblanc,Stainless Steel,Leather,Manual,30 meters,44,12.3,22,Black,Sapphire,50 hours,"3,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,70 hours,"9,950"
Omega,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.7,20,Black,Hesalite,48 hours,"4,950"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,45 hours,"38,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"22,000"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,46 hours,"7,500"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,70 hours,"8,900"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"13,900"
Breguet,Rose Gold,Leather,Manual,30 meters,40,6.8,20,Silver,Sapphire,65 hours,"20,500"
Ulysse Nardin,Titanium,Rubber,Automatic,300 meters,44,14.5,22,Blue,Sapphire,60 hours,"9,500"
Hublot,Ceramic,Rubber,Automatic,100 meters,41,14.5,20,Black,Sapphire,72 hours,"16,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.75,20,White,Sapphire,50 hours,"5,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.8,20,Black,Sapphire,70 hours,"8,200"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,13.2,20,Black,Hesalite,48 hours,"5,500"
Cartier,Stainless Steel,Stainless Steel,Automatic,30 meters,33,9.96,18,Silver,Sapphire,42 hours,"6,500"
Breitling,Stainless Steel,Rubber,Automatic,500 meters,42,13.32,20,Blue,Sapphire,38 hours,"3,600"
Patek Philippe,Rose Gold,Leather,Manual,30 meters,36,7.45,18,White,Sapphire,44 hours,"18,000"
Hublot,Titanium,Rubber,Automatic,100 meters,42,14.5,24,Black,Sapphire,72 hours,"8,900"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"13,500"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"26,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,12.75,22,Black,Sapphire,50 hours,"6,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41.5,12.3,22,Silver,Sapphire,60 hours,"7,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,38,7.58,20,Silver,Sapphire,70 hours,"4,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,45 hours,"29,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,60 hours,"23,100"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,60 hours,"7,950"
Vacheron Constantin,Stainless Steel,Rubber,Automatic,150 meters,41.5,11,22,Blue,Sapphire,40 hours,"18,900"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"12,800"
Hublot,Ceramic,Rubber,Automatic,100 meters,44,14.5,26,Black,Sapphire,72 hours,"17,900"
Breguet,18k Rose Gold,Leather,Manual,30 meters,39,8.65,20,Silver,Sapphire,40 hours,"15,200"
Ulysse Nardin,Stainless Steel,Leather,Automatic,100 meters,42.2,14.2,22,Blue,Sapphire,60 hours,"8,400"
Zenith,Titanium,Rubber,Automatic,100 meters,41,10.75,22,Blue,Sapphire,50 hours,"9,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Silver,Sapphire,46 hours,"9,200"
Panerai,Stainless Steel,Leather,Manual,100 meters,44,13.05,24,Black,Sapphire,56 hours,"7,500"
Seiko,Stainless Steel,Silicone,Automatic,200 meters,43,13.2,22,Blue,Hardlex,50 hours,"1,300"
Tissot,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,20,Silver,Sapphire,38 hours,650
Longines,Stainless Steel,Leather,Automatic,30 meters,40,10.25,20,Black,Sapphire,64 hours,"2,500"
Hamilton,Stainless Steel,Leather,Automatic,50 meters,40,11.15,20,Silver,Sapphire,80 hours,"1,150"
Montblanc,Stainless Steel,Leather,Automatic,50 meters,40,9.85,20,Silver,Sapphire,42 hours,"2,750"
Rado,High-Tech Ceramic,Leather,Quartz,30 meters,39,5,22,Black,Sapphire,N/A,"1,600"
Frederique Constant,Stainless Steel,Leather,Automatic,50 meters,40,10.5,20,Silver,Sapphire,38 hours,"1,400"
Zenith,Stainless Steel,Leather,Automatic,50 meters,40.5,8.15,22,White,Sapphire,50 hours,"5,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,25,Black,Sapphire,46 hours,"8,700"
Ulysse Nardin,Stainless Steel,Leather,Automatic,50 meters,42,11.15,20,Blue,Sapphire,60 hours,"7,900"
Sinn,German Submarine Steel,Silicone,Automatic,500 meters,45,14.7,22,Black,Sapphire,38 hours,"3,350"
Rolex,Stainless Steel,Jubilee,Automatic,100 meters,36,12.5,20,Black,Sapphire,70 hours,"8,000"
Omega,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.5,20,Black,Sapphire,60 hours,"6,500"
Cartier,Stainless Steel,Leather,Automatic,30 meters,33,9.96,16,Silver,Sapphire,42 hours,"4,500"
Tag Heuer,Stainless Steel,Stainless Steel,Quartz,300 meters,43,10.8,20,Blue,Sapphire,N/A,"1,800"
Breitling,Stainless Steel,Rubber,Automatic,2000 meters,42,13.32,20,Blue,Sapphire,38 hours,"3,600"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,60 hours,"8,900"
Panerai,Titanium,Leather,Manual,300 meters,44,13.05,24,Black,Sapphire,56 hours,"5,700"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,45 hours,"34,000"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,43 hours,"6,800"
Bell & Ross,Stainless Steel,Rubber,Automatic,100 meters,41,9.7,22,Black,Sapphire,40 hours,"2,500"
Montblanc,Bronze,Leather,Automatic,100 meters,44,12.8,22,Black,Sapphire,42 hours,"5,300"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,45 hours,"34,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,60 hours,"22,000"
Vacheron Constantin,Stainless Steel,Rubber,Automatic,150 meters,41,11,21,Blue,Sapphire,60 hours,"17,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,13.1,22,Silver,Sapphire,60 hours,"8,500"
Hublot,Ceramic,Rubber,Automatic,100 meters,44.5,14.5,22,Black,Sapphire,72 hours,"15,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.4,19,White,Sapphire,50 hours,"6,000"
Chopard,Stainless Steel,Leather,Automatic,50 meters,42,12.67,20,Black,Sapphire,48 hours,"5,000"
Panerai,Titanium,Rubber,Automatic,300 meters,44,13.05,24,Black,Sapphire,72 hours,"8,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,54 hours,"9,000"
Blancpain,Stainless Steel,NATO Strap,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"12,500"
Bulgari,Titanium,Leather,Automatic,30 meters,40,5.5,21,Black,Sapphire,55 hours,"10,000"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,70 hours,"3,800"
Panerai,Stainless Steel,Leather,Automatic,300 meters,44,13.05,22,Black,Sapphire,72 hours,"8,900"
Hublot,Titanium,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,72 hours,"16,800"
IWC,Stainless Steel,Leather,Automatic,30 meters,40.9,12.3,20,Silver,Sapphire,44 hours,"6,900"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"24,500"
Vacheron Constantin,Stainless Steel,Rubber,Automatic,150 meters,41.5,11,21,Silver,Sapphire,40 hours,"19,500"
Breguet,18k White Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,55 hours,"24,500"
Piaget,18k Rose Gold,Leather,Manual,30 meters,38,6,20,White,Sapphire,43 hours,"20,800"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"13,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,41,10.88,22,Black,Sapphire,46 hours,"9,700"
Zenith,Stainless Steel,Leather,Automatic,50 meters,42,14.05,22,Silver,Sapphire,50 hours,"7,400"
Breitling,Stainless Steel,Rubber,Automatic,200 meters,44,14.2,22,Black,Sapphire,70 hours,"4,300"
Cartier,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20,Silver,Sapphire,42 hours,"6,500"
Omega,Stainless Steel,Leather,Manual,50 meters,42,13.7,20,Black,Hesalite,48 hours,"5,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.4,20,Black,Sapphire,70 hours,"9,100"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,40,8.8,20,Silver,Sapphire,70 hours,"7,500"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"20,900"
IWC,Stainless Steel,Leather,Automatic,60 meters,40,10.8,20,Black,Sapphire,42 hours,"4,200"
Patek Philippe,18k White Gold,Leather,Automatic,30 meters,39,8.6,20,Silver,Sapphire,48 hours,"22,000"
Tag Heuer,Stainless Steel,Stainless Steel,Quartz,300 meters,32,9.5,15,Blue,Sapphire,N/A,"1,700"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,70 hours,"3,600"
Rolex,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36,12.5,20,Silver,Sapphire,70 hours,"8,900"
Omega,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.5,20,Black,Sapphire,60 hours,"6,800"
Tag Heuer,Stainless Steel,Stainless Steel,Quartz,300 meters,43,10.8,21,Blue,Sapphire,N/A,"2,600"
Breitling,Stainless Steel,Leather,Automatic,200 meters,42,14.35,20,Black,Sapphire,38 hours,"4,400"
Cartier,18k Rose Gold,Leather,Automatic,30 meters,33,9.96,18,Silver,Sapphire,42 hours,"13,000"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,8.5,20,Silver,Sapphire,70 hours,"7,500"
Tudor,Stainless Steel,Stainless Steel,Automatic,200 meters,41,14.5,22,Black,Sapphire,70 hours,"4,500"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.45,19,White,Sapphire,50 hours,"6,900"
Longines,Stainless Steel,Stainless Steel,Automatic,300 meters,41,12.65,20,Black,Sapphire,64 hours,"1,800"
Oris,Stainless Steel,Leather,Automatic,100 meters,40,12.9,20,Blue,Sapphire,38 hours,"1,500"
Hamilton,Stainless Steel,NATO Strap,Automatic,100 meters,38,9.7,20,Black,Sapphire,80 hours,595
Panerai,Stainless Steel,Leather,Automatic,300 meters,42,13.2,22,Black,Sapphire,72 hours,"7,500"
IWC,Stainless Steel,Leather,Automatic,60 meters,41,15.3,22,Black,Sapphire,72 hours,"5,400"
Patek Philippe,White Gold,Leather,Manual,30 meters,37,7.7,20,White,Sapphire,44 hours,"25,000"
Hublot,Carbon Fiber,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,72 hours,"15,000"
Zenith,Stainless Steel,Leather,Automatic,50 meters,38,12.6,20,Silver,Sapphire,50 hours,"7,500"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"25,000"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,50 meters,41,11,22,Blue,Sapphire,40 hours,"18,000"
Breguet,White Gold,Leather,Automatic,30 meters,39,8.65,21,Silver,Sapphire,55 hours,"20,000"
Ulysse Nardin,Stainless Steel,Rubber,Automatic,100 meters,42,12.8,22,Blue,Sapphire,60 hours,"8,500"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"10,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Black,Sapphire,54 hours,"9,000"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21,Blue,Sapphire,55 hours,"51,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"22,000"
IWC,Stainless Steel,Leather,Automatic,60 meters,46.2,15,20,Black,Sapphire,68 hours,"7,500"
